[14:52:13] Name: Sergio, Id: 30, Type: 11, Entity: 0, Amount: 2, Value: 0, Desc: Lvl: 2, HP: 31 +11
[14:53:05] Name: Sergio, Id: 30, Type: 11, Entity: 0, Amount: 3, Value: 0, Desc: Lvl: 3, HP: 42 +11
[14:53:10] Name: Sergio, Id: 30, Type: 11, Entity: 0, Amount: 4, Value: 0, Desc: Lvl: 4, HP: 52 +10
[14:53:10] Name: Sergio, Id: 30, Type: 11, Entity: 0, Amount: 5, Value: 0, Desc: Lvl: 5, HP: 62 +10
[14:53:17] Name: Sergio, Id: 30, Type: 11, Entity: 0, Amount: 6, Value: 0, Desc: Lvl: 6, HP: 72 +10
[14:53:19] Name: Sergio, Id: 30, Type: 11, Entity: 0, Amount: 7, Value: 0, Desc: Lvl: 7, HP: 80 +8
[14:53:34] Name: Sergio, Id: 30, Type: 11, Entity: 0, Amount: 8, Value: 0, Desc: Lvl: 8, HP: 91 +11
[14:54:01] Name: Sergio, Id: 30, Type: 11, Entity: 0, Amount: 9, Value: 0, Desc: Lvl: 9, HP: 100 +9
[14:55:01] Name: Sergio, Id: 30, Type: 11, Entity: 0, Amount: 10, Value: 0, Desc: Lvl: 10, HP: 108 +8
